AutoNumber,Descriptive Name,Comic Series,Comic Volume,Comic Number,Printing/Edition,Comic Publisher,Month/Year Published,Comic Price,Bought At,Bought Date,Bought Price,Quantity,Notes
463,"Teenage Mutant Ninja Turtles Mirage Vol 4, #02 [2nd Printing]",Teenage Mutant Ninja Turtles Mirage Vol 4,1,02,Second Printing,Mirage,March 2003,2.95,Mirage Publishing (Online),2005.08.26,3.00,1,
351,"Teenage Mutant Ninja Turtles Mirage Vol 4, #03",Teenage Mutant Ninja Turtles Mirage Vol 4,4,03,1st,Mirage,April 2002,2.95,Power House Comics,12.20.2002,3.25,1,
372,"Teenage Mutant Ninja Turtles Mirage Vol 4, #04",Teenage Mutant Ninja Turtles Mirage Vol 4,4,04,1st,Mirage,June 2002,2.95,The Collector's Exchange (Appleton),02.15.2003,3.00,1,
375,"Teenage Mutant Ninja Turtles Mirage Vol 4, #04 [2nd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,04,1st,Mirage,June 2002,2.95,House of Heroes (Oshkosh),02.15.2003,3.25,1,
352,"Teenage Mutant Ninja Turtles Mirage Vol 4, #05",Teenage Mutant Ninja Turtles Mirage Vol 4,4,05,1st,Mirage,August 2002,2.95,Power House Comics,12.20.2002,3.25,1,
376,"Teenage Mutant Ninja Turtles Mirage Vol 4, #05 [2nd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,05,1st,Mirage,Aug 2002,2.95,House of Heroes (Oshkosh),02.15.2003,3.25,1,
353,"Teenage Mutant Ninja Turtles Mirage Vol 4, #06",Teenage Mutant Ninja Turtles Mirage Vol 4,4,06,1st,Mirage,October 2002,2.95,Power House Comics,12.20.2002,2.95,1,
373,"Teenage Mutant Ninja Turtles Mirage Vol 4, #06 [2nd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,06,1st,Mirage,Oct 2002,2.95,The Collector's Exchange (Appleton),02.15.2003,3.00,1,
413,"Teenage Mutant Ninja Turtles Mirage Vol 4, #06 [3rd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,06,1st,Mirage,Oct 2002,2.95,Power House Comics,2003.05.24,3.25,1,
445,"Teenage Mutant Ninja Turtles Mirage Vol 4, #06 [4th copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,06,,Mirage,Oct 2002,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
360,"Teenage Mutant Ninja Turtles Mirage Vol 4, #07",Teenage Mutant Ninja Turtles Mirage Vol 4,4,07,1st,Mirage,Dec 2002,2.95,Westfield's,01.05.2003,2.95,1,
374,"Teenage Mutant Ninja Turtles Mirage Vol 4, #07 [2nd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,07,1st,Mirage,Dec 2002,2.95,The Collector's Exchange (Appleton),02.15.2003,3.00,1,
414,"Teenage Mutant Ninja Turtles Mirage Vol 4, #07 [3rd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,07,1st,Mirage,Dec 2002,2.95,Power House Comics,2003.05.24,3.25,1,
446,"Teenage Mutant Ninja Turtles Mirage Vol 4, #07 [4th copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,07,,Mirage,Dec 2002,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
371,"Teenage Mutant Ninja Turtles Mirage Vol 4, #08",Teenage Mutant Ninja Turtles Mirage Vol 4,4,08,1st,Mirage,Feb 2003,2.95,Chimera Hobby (Appleton),02.15.2003,2.95,1,
378,"Teenage Mutant Ninja Turtles Mirage Vol 4, #08 [2nd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,08,1st,Mirage,Feb 2003,2.95,Power House Comics,02.15.2003,2.95,1,
447,"Teenage Mutant Ninja Turtles Mirage Vol 4, #08 [3rd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,08,,Mirage,Feb 2003,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
412,"Teenage Mutant Ninja Turtles Mirage Vol 4, #09",Teenage Mutant Ninja Turtles Mirage Vol 4,4,09,1st,Mirage,Apr 2003,2.95,The Great Escape,04.23.2003,2.95,2,"Bought both at the same location, same day, for $2.95 each."
424,"Teenage Mutant Ninja Turtles Mirage Vol 4, #10",Teenage Mutant Ninja Turtles Mirage Vol 4,4,10,1st,Mirage,June 2003,3.95,The Great Escape,07.02.2003,3.95,2,Both bought for same price and at same place.
425,"Teenage Mutant Ninja Turtles Mirage Vol 4, #11",Teenage Mutant Ninja Turtles Mirage Vol 4,4,11,1st,Mirage,Aug 2003,2.95,Chimera Hobby (Appleton),09.09.2003,2.95,1,
448,"Teenage Mutant Ninja Turtles Mirage Vol 4, #11 [2nd copy]",Teenage Mutant Ninja Turtles Mirage Vol 4,4,11,,Mirage,Aug 2003,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
426,"Teenage Mutant Ninja Turtles Mirage Vol 4, #12",Teenage Mutant Ninja Turtles Mirage Vol 4,4,12,,Mirage,Oct 2003,2.95,Westfield Comics,07.23.2005,2.95,1,
449,"Teenage Mutant Ninja Turtles Mirage Vol 4, #13",Teenage Mutant Ninja Turtles Mirage Vol 4,4,13,,Mirage,Dec 2003,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
450,"Teenage Mutant Ninja Turtles Mirage Vol 4, #14",Teenage Mutant Ninja Turtles Mirage Vol 4,4,14,,Mirage,Feb 2004,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
451,"Teenage Mutant Ninja Turtles Mirage Vol 4, #15",Teenage Mutant Ninja Turtles Mirage Vol 4,4,15,,Mirage,Apr 2004,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
452,"Teenage Mutant Ninja Turtles Mirage Vol 4, #16",Teenage Mutant Ninja Turtles Mirage Vol 4,4,16,,Mirage,June 2004,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
453,"Teenage Mutant Ninja Turtles Mirage Vol 4, #17",Teenage Mutant Ninja Turtles Mirage Vol 4,4,17,,Mirage,Aug 2004,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
454,"Teenage Mutant Ninja Turtles Mirage Vol 4, #18",Teenage Mutant Ninja Turtles Mirage Vol 4,4,18,,Mirage,Oct 2004,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
455,"Teenage Mutant Ninja Turtles Mirage Vol 4, #19",Teenage Mutant Ninja Turtles Mirage Vol 4,4,19,,Mirage,Dec 2004,2.95,eBay - Hamner,2005.07.19,0.55,1,16 comics for $8.76 (3.76 + 5 s/h)
427,"Teenage Mutant Ninja Turtles Mirage Vol 4, #20",Teenage Mutant Ninja Turtles Mirage Vol 4,4,20,,Mirage,Feb 2005,2.95,Westfield Comics,07.23.2005,2.95,1,
428,"Teenage Mutant Ninja Turtles Mirage Vol 4, #21",Teenage Mutant Ninja Turtles Mirage Vol 4,4,21,,Mirage,Apr 2005,2.95,Westfield Comics,07.23.2005,2.95,1,
429,"Teenage Mutant Ninja Turtles Mirage Vol 4, #22",Teenage Mutant Ninja Turtles Mirage Vol 4,4,22,,Mirage,June 2005,2.95,Westfield Comics,07.23.2005,2.95,1,
502,"Teenage Mutant Ninja Turtles Mirage Vol 4, #23",Teenage Mutant Ninja Turtles Mirage Vol 4,4,23,,Mirage,Aug 2005,2.95,Westfield's Comics (Madison),2006.04.29,2.95,1,
503,"Teenage Mutant Ninja Turtles Mirage Vol 4, #24",Teenage Mutant Ninja Turtles Mirage Vol 4,4,24,,Mirage,Oct 2005,2.95,Westfield's Comics (Madison),2006.04.29,2.95,1,
504,"Teenage Mutant Ninja Turtles Mirage Vol 4, #25",Teenage Mutant Ninja Turtles Mirage Vol 4,4,25,,Mirage,Dec 2005,2.95,Westfield's Comics (Madison),2006.04.29,2.95,1,
501,"Teenage Mutant Ninja Turtles Mirage Vol 4, #26",Teenage Mutant Ninja Turtles Mirage Vol 4,4,26,1st,Mirage,Feb 2006,2.95,Westfield's Comics (Madison),2006.04.29,2.95,1,
542,"Teenage Mutant Ninja Turtles Mirage Vol 4, #27",Teenage Mutant Ninja Turtles Mirage Vol 4,4,27,,Mirage,April 2006,2.95,Mirage Publishing (Online),2006.12.09,3.00,1,
543,"Teenage Mutant Ninja Turtles Mirage Vol 4, #28",Teenage Mutant Ninja Turtles Mirage Vol 4,4,28,,Mirage,June 2006,2.95,Mirage Publishing (Online),2006.12.09,3.00,1,
58,"Teenage Mutant Ninja Turtles Special: ""Times"" Pipeline",Teenage Mutant Ninja Turtles Special,1,1,,Mirage,September 1992,2.95,,,,1,
56,Teenage Mutant Ninja Turtles Special: The Haunted Pizza,Teenage Mutant Ninja Turtles Special,1,1,,Mirage,October 1992,2.25,,,,1,
57,Teenage Mutant Ninja Turtles Special: The Maltese Turtle,Teenage Mutant Ninja Turtles Special,1,1,,Mirage,January 1993,2.95,,,,1,
258,Teenage Mutant Ninja Turtles Teach Karate Vol 1,Solson,1,1,,Solson,,2.25,,,,1,
462,Teenage Mutant Ninja Turtles TV Series Sourcebook,TV Series Sourcebook,1,1,,Mirage,Spring 2003,1.99,Mirage Publishing (Online),2005.08.26,0.00,1,
456,Teenage Mutant Ninja Turtles Volume One,Teenage Mutant Ninja Turtles Adventures collection,1,1,,Tundra,,9.95,"The Time Capsule, 537 Pontiac Ave, Cranston RI 029",2005.07.15,6.30,1,"eBay, 5 comics for $26.50, +$5s/h"
313,Teenage Mutant Ninja Turtles/Flaming Carrot #1,[crossover],1,1,,Mirage,November 1993,2.75,,,,1,
314,Teenage Mutant Ninja Turtles/Flaming Carrot #2,[crossover],1,2,,Mirage,December 1993,2.75,,,,1,
315,Teenage Mutant Ninja Turtles/Flaming Carrot #3,[crossover],1,3,,Mirage,January 1994,2.75,,,,1,
316,Teenage Mutant Ninja Turtles/Flaming Carrot #4,[crossover],1,4,,Mirage,February 1994,2.75,,,,1,
484,Teenage Mutant Ninja Turtles: The Collected Book Volume 1 (colour softcover),Teenage Mutant Ninja Turtles: The Collected Book,1,1,,Mirage,March 1990,16.95,eBay misterzipster,2005.09.10,6.53,1,"eBay, 3 comics for $19.59 w/ 3.23 s/h"
270,Teenage Mutant Ninja Turtles: The Collected Book Volume 1 (white/black softcover),Teenage Mutant Ninja Turtles: The Collected Book,1,1,"First Printing, 1988",Mirage,1988,,"Capital City Comics, Madison",,50.00,1,"Books 1-11, Mini-Series"
268,Teenage Mutant Ninja Turtles: The Collected Book Volume 2,Teenage Mutant Ninja Turtles: The Collected Book,1,2,,Mirage,May 1990,6.95,½ Price Books (West Mad),2002.05.12,3.00,1,"Books 12, 13, 14"
457,Teenage Mutant Ninja Turtles: The Collected Book Volume 2 [2nd copy],Teenage Mutant Ninja Turtles: The Collected Book,1,2,,Mirage,May 1990,6.95,"The Time Capsule, 537 Pontiac Ave, Cranston RI 029",2005.07.15,6.30,1,"eBay, 5 comics for $26.50, +$5s/h"
485,Teenage Mutant Ninja Turtles: The Collected Book Volume 2 [3rd copy],Teenage Mutant Ninja Turtles: The Collected Book,1,2,,Mirage,May 1990,6.95,,2005.09.10,6.53,1,"eBay, 3 comics for $19.59 w/ 3.23 s/h"
459,Teenage Mutant Ninja Turtles: The Collected Book Volume 3,Teenage Mutant Ninja Turtles: The Collected Book,1,3,,Mirage,June 1990,6.95,"The Time Capsule, 537 Pontiac Ave, Cranston RI 029",2005.07.15,6.30,1,"eBay, 5 comics for $26.50, +$5s/h"
481,Teenage Mutant Ninja Turtles: The Collected Book Volume 3 [2nd copy],Teenage Mutant Ninja Turtles: The Collected Book,1,3,,Mirage,June 1990,6.95,hundredsbeforemusicians (eBay),2005.09.09,4.38,1,
486,Teenage Mutant Ninja Turtles: The Collected Book Volume 3 [3rd copy],Teenage Mutant Ninja Turtles: The Collected Book,1,3,,Mirage,June 1990,6.95,,2005.09.10,6.53,1,"eBay, 3 comics for $19.59 w/ 3.23 s/h"
271,Teenage Mutant Ninja Turtles: The Collected Book Volume 4,Teenage Mutant Ninja Turtles: The Collected Book,1,4,First Printing,Mirage,October 1990,6.95,,,,1,Books 19-21
482,Teenage Mutant Ninja Turtles: The Collected Book Volume 4 [2nd copy],Teenage Mutant Ninja Turtles: The Collected Book,1,4,,Mirage,October 1990,6.95,hundredsbeforemusicians (eBay),2005.09.09,4.38,1,
474,Teenage Mutant Ninja Turtles: The Collected Book Volume 5,Teenage Mutant Ninja Turtles: The Collected Book,1,5,,Mirage,November 1990,6.95,Mirage Publishing (Online),2005.08.26,5.25,1,
483,Teenage Mutant Ninja Turtles: The Collected Book Volume 5 [2nd copy],Teenage Mutant Ninja Turtles: The Collected Book,1,5,,Mirage,November 1990,6.95,hundredsbeforemusicians (eBay),2005.09.09,4.38,1,
460,Teenage Mutant Ninja Turtles: The Collected Book Volume 6,Teenage Mutant Ninja Turtles: The Collected Book,1,6,,Mirage,July 1991,6.95,"The Time Capsule, 537 Pontiac Ave, Cranston RI 029",2005.07.15,6.30,1,"eBay, 5 comics for $26.50, +$5s/h"
272,Teenage Mutant Ninja Turtles: The Collected Tales of the TMNT,Teenage Mutant Ninja Turtles: The Collected Book,1,1,,Mirage,December 1989,,,,,1,Tales 1-7
458,Teenage Mutant Ninja Turtles: The Collected Tales of the TMNT [2nd copy],Teenage Mutant Ninja Turtles: The Collected Book,1,1,,Mirage,December 1989,,"The Time Capsule, 537 Pontiac Ave, Cranston RI 029",2005.07.15,6.30,1,"eBay, 5 comics for $26.50, +$5s/h"
294,TMNT Classics Digest #1,TMNT Classics Digest,1,1,,Archie,,1.75,,,,1,
295,TMNT Classics Digest #2,TMNT Classics Digest,1,2,,Archie,,1.75,,,,1,
296,TMNT Classics Digest #3,TMNT Classics Digest,1,3,,Archie,,1.75,,,,1,
297,TMNT Classics Digest #4,TMNT Classics Digest,1,4,,Archie,,1.75,,,,1,
298,TMNT Classics Digest #5,TMNT Classics Digest,1,5,,Archie,,1.75,,,,1,
299,TMNT Classics Digest #6,TMNT Classics Digest,1,6,,Archie,,1.75,,,,1,
300,TMNT Classics Digest #7,TMNT Classics Digest,1,7,,Archie,,1.75,,,,1,
322,TMNT Meet Archie,TMNT Meet Archie,1,1,,Archie,,2.50,,,,1,
323,TMNT Meet the Conservation Corps,TMNT Meet the Conservation Corps,1,1,,Archie,,2.50,,,,1,
344,TMNT Movie I (Comic Adaption - Archie),TMNT Movie I,1,1,,Archie,Summer 1990,2.50,,,,1,
345,TMNT Movie I (Prestige Adaption - Archie),TMNT Movie I,1,1,,Archie,,,,,,1,
346,TMNT Movie I (Prestige Adaption - Mirage),TMNT Movie I,1,1,,Mirage,,,,,,1,
347,TMNT Movie II (Comic Adaption - Archie),TMNT Movie II,1,1,,Archie,Summer 1991,2.50,,,,1,
348,TMNT Movie II (Prestige Adaption - Mirage),TMNT Movie II,1,1,,Mirage,,,,,,1,
349,TMNT Movie III (Comic Adaption - Archie),TMNT Movie III,1,1,,Archie,,2.50,,,,1,
350,TMNT Movie III (Prestige Adaption - Archie),TMNT Movie III,1,1,,Archie,,4.95,,,,1,
556,TMNT Soul's Winter: The Collected TMNT Work of Michael Zulli,Collected TMNT,1,1,First Edition,Mirage,February 2007,10.00,PanelToPanel.net,2007.02.09,9.00,1,Purchased along with Tales of the TMNT Vol. 2 (1st and 2nd copies).
558,TMNT: The Collected Movie Books,Collected Movie Books,1,1,First Edition,Mirage,July 2007,16.00,PanelToPanel.net,2007.07.09,15.20,1,
253,Turtle Soup #1,Turtle Soup,1,1,,Mirage,September 1987,2.00,,,,1,
254,Turtle Soup Book 1,Turtle Soup,1,1,,Mirage,November 1991,2.50,,,,1,
255,Turtle Soup Book 2,Turtle Soup,1,2,,Mirage,December 1991,2.50,,,,1,
256,Turtle Soup Book 3,Turtle Soup,1,3,,Mirage,January 1992,2.50,,,,1,
257,Turtle Soup Book 4,Turtle Soup,1,4,,Mirage,February 1992,2.50,,,,1,
60,Turtlemania Special #1,Teenage Mutant Ninja Turtles Special,1,1,Regular Printing,Other,1986,,"Capital City Comics, Madison",,25.00,1,
520,Usagi Yojimbo #10,Usagi Yojimbo,1,10,First,Other,August 1988,2.00,eBay (brycomics),2006.11.27,4.99,1,$8.98 total after shipping.
265,"Usagi Yojimbo Mirage Vol 2, #1",Usagi Yojimbo Mirage Vol 2,1,1,,Mirage,Mar 93,2.75,,,,1,
266,"Usagi Yojimbo Mirage Vol 2, #2",Usagi Yojimbo Mirage Vol 2,1,2,,Mirage,May 93,2.75,,,,1,
267,"Usagi Yojimbo Mirage Vol 2, #3",Usagi Yojimbo Mirage Vol 2,1,3,,Mirage,July 1993,2.75,,,,1,
